alson,IMG_20240913_122625.jpg,À£Ññ²¡ÔçÆÚ,94.67287064,À£Ññ²¡ÖÐÍíÆÚ,5.322143063,²¡¶¾²¡,0.001340822,2025/2/4 21:12
cavey,IMG_20240913_095243.jpg,À£Ññ²¡ÔçÆÚ,96.66865468,À£Ññ²¡ÖÐÍíÆÚ,3.228170797,½¡¿µ,0.056770333,2025/2/4 22:33
cavey,IMG_20240920_120116.jpg,¾¥¸¯²¡,95.54826021,¾¥°ß²¡,3.569623455,Ä¾ÖÊ»¯,0.614426099,2025/2/4 22:34
cavey,IMG_20230615_174723.jpg,½¡¿µ,89.25997019,²¡¶¾²¡,8.124138415,¾¥°ß²¡,1.176743675,2025/2/4 22:35
cavey,IMG_20230615_174723.jpg,½¡¿µ,89.25997019,²¡¶¾²¡,8.124138415,¾¥°ß²¡,1.176743675,2025/2/16 22:20
cavey,IMG_20240920_120030.jpg,¾¥¿Ý²¡,99.99967813,¾¥¸¯²¡,0.00024796,¾¥°ß²¡,3.61E-05,2025/2/16 22:55
cavey,IMG_20240920_120123.jpg,¾¥¸¯²¡,99.43802953,Ä¾ÖÊ»¯,0.424522627,²¡¶¾²¡,0.089776993,2025/2/16 23:06
cavey,IMG_20240913_095243.jpg,À£Ññ²¡ÔçÆÚ,96.66865468,À£Ññ²¡ÖÐÍíÆÚ,3.228170797,½¡¿µ,0.056770333,2025/2/16 23:07
cavey,IMG_20240913_095243.jpg,À£Ññ²¡ÔçÆÚ,96.66865468,À£Ññ²¡ÖÐÍíÆÚ,3.228170797,½¡¿µ,0.056770333,2025/2/16 23:10
cavey,IMG_20240913_095243.jpg,À£Ññ²¡ÔçÆÚ,96.66865468,À£Ññ²¡ÖÐÍíÆÚ,3.228170797,½¡¿µ,0.056770333,2025/2/16 23:13
cavey,5_1.jpg,Àäº¦,99.98701811,½¡¿µ,0.012387059,³à°ß²¡,0.000293207,2025/2/16 23:16
cavey,IMG_20240913_095243.jpg,À£Ññ²¡ÔçÆÚ,96.73192501068115,À£Ññ²¡ÖÐÍíÆÚ,3.164025768637657,½¡¿µ,0.058498315047472715,2025-02-17 22:14:24
cavey,captured_1739801936.jpg,Àäº¦,99.75538849830627,³à°ß²¡,0.21258024498820305,½¡¿µ,0.012810823682229966,2025-02-17 22:18:56
alson,IMG_20240920_120116.jpg,¾¥¸¯²¡,95.46483755111694,¾¥°ß²¡,3.6346498876810074,Ä¾ÖÊ»¯,0.6439422257244587,2025-02-18 00:14:06
alson,IMG_20240920_120021.jpg,¾¥¿Ý²¡,99.9990463256836,¾¥¸¯²¡,0.000566245171285118,¾¥°ß²¡,0.00023038203380565392,2025-02-18 00:14:16
alson,IMG_20240913_095243.jpg,À£Ññ²¡ÔçÆÚ,96.73192501068115,À£Ññ²¡ÖÐÍíÆÚ,3.164025768637657,½¡¿µ,0.058498315047472715,2025-02-18 00:14:25
alson,IMG_20240920_120233.jpg,½¡¿µ,94.87143158912659,Àäº¦,1.6639245674014091,²¡¶¾²¡,0.972433015704155,2025-02-18 00:14:37
cavey,IMG_20230615_174839.jpg,½¡¿µ,67.85612106323242,¾¥°ß²¡,11.427266150712967,¾¥¸¯²¡,8.481596410274506,2025-02-18 00:27:51
cavey,IMG_20240913_095243.jpg,À£Ññ²¡ÔçÆÚ,96.73192501068115,À£Ññ²¡ÖÐÍíÆÚ,3.164025768637657,½¡¿µ,0.058498315047472715,2025-02-18 00:28:39
cavey,IMG_20240920_120116.jpg,¾¥¸¯²¡,95.46483755111694,¾¥°ß²¡,3.6346498876810074,Ä¾ÖÊ»¯,0.6439422257244587,2025-02-18 00:29:51
cavey,IMG_20240920_120030.jpg,¾¥¿Ý²¡,99.9996542930603,¾¥¸¯²¡,0.0002656204969753162,¾¥°ß²¡,3.4962550898853806e-05,2025-02-18 00:30:33
cavey,IMG_20240920_120224.jpg,½¡¿µ,83.09256434440613,²¡¶¾²¡,10.348228365182877,¾¥°ß²¡,5.834761634469032,2025-02-18 00:31:52
cavey,IMG_20240920_121506.jpg,¾¥°ß²¡,99.83057975769043,¾¥¿Ý²¡,0.15935522969812155,½¡¿µ,0.009065635822480544,2025-02-18 00:33:01
cavey,captured_1740203720.jpg,Àäº¦,91.58037900924683,³à°ß²¡,6.242615729570389,½¡¿µ,1.8850842490792274,2025-02-22 13:55:20
cavey,5_1.jpg,Àäº¦,99.98555183410645,½¡¿µ,0.013798833242617548,¾¥¸¯²¡,0.0003127861873508664,2025-02-22 14:01:59
cavey,5_1.jpg,Àäº¦,99.98555183410645,½¡¿µ,0.013798833242617548,¾¥¸¯²¡,0.0003127861873508664,2025-02-22 14:04:36
cavey,5_1.jpg,Àäº¦,99.98555183410645,½¡¿µ,0.013798833242617548,¾¥¸¯²¡,0.0003127861873508664,2025-02-22 14:11:50
cavey,5_1.jpg,Àäº¦,99.98555183410645,½¡¿µ,0.013798833242617548,¾¥¸¯²¡,0.0003127861873508664,2025-02-22 14:15:42
cavey,IMG_20240913_095243.jpg,À£Ññ²¡ÔçÆÚ,96.73192501068115,À£Ññ²¡ÖÐÍíÆÚ,3.164025768637657,½¡¿µ,0.058498315047472715,2025-02-22 14:24:31
cavey,IMG_20230615_174723.jpg,½¡¿µ,88.91615867614746,²¡¶¾²¡,8.362464606761932,¾¥°ß²¡,1.210603304207325,2025-02-22 14:25:37
cavey,IMG_20240920_120030.jpg,¾¥¿Ý²¡,99.9996542930603,¾¥¸¯²¡,0.0002656204969753162,¾¥°ß²¡,3.4962550898853806e-05,2025-02-22 14:27:19
cavey,IMG_20240920_120116.jpg,¾¥¸¯²¡,95.46483755111694,¾¥°ß²¡,3.6346498876810074,Ä¾ÖÊ»¯,0.6439422257244587,2025-02-22 14:27:38
cavey,IMG_20240920_121506.jpg,¾¥°ß²¡,99.83057975769043,¾¥¿Ý²¡,0.15935522969812155,½¡¿µ,0.009065635822480544,2025-02-22 14:28:21
cavey,5_1.jpg,Àäº¦,99.98555183410645,½¡¿µ,0.013798833242617548,¾¥¸¯²¡,0.0003127861873508664,2025-02-22 14:30:21
cavey,IMG_20240913_095243.jpg,À£Ññ²¡ÔçÆÚ,96.73192501068115,À£Ññ²¡ÖÐÍíÆÚ,3.164025768637657,½¡¿µ,0.058498315047472715,2025-02-22 14:31:57
cavey,IMG_20230615_174723.jpg,½¡¿µ,88.91615867614746,²¡¶¾²¡,8.362464606761932,¾¥°ß²¡,1.210603304207325,2025-02-22 14:32:36
cavey,IMG_20240920_120116.jpg,¾¥¸¯²¡,95.46483755111694,¾¥°ß²¡,3.6346498876810074,Ä¾ÖÊ»¯,0.6439422257244587,2025-02-22 14:33:36
cavey,IMG_20240920_121506.jpg,¾¥°ß²¡,99.83057975769043,¾¥¿Ý²¡,0.15935522969812155,½¡¿µ,0.009065635822480544,2025-02-22 14:34:18
